Numero,Titre,Auteurs,Villes,Themes,Epoque
Mémoire n°06,Vie quotidienne : la buille chez nos grans-mères,Germaine Billon,Saint Pierre de Mésage,Vie locale,-
Mémoire n°06,Vins futés des grands-mères,Germaine Billon,Notre Dame de Mésage,Cuisine et recettes,-
Mémoire n°06,Bibliographie et sources,Pierre Melquiond,Pays vizillois,Documents remarquables,-
Mémoire n°06 bis,Libération du pays vizillois - 22 aout 1944 (n° spécial),"Robert Aillaud , Gérard Mingat",Pays vizillois,"Guerres , Grandes périodes",-
Mémoire n°07,II - La vie en 1793 à Champ sur Drac sous la révolution,Gilbert Gacon,Champ sur Drac,Grandes périodes,-
Mémoire n°07,Guigues II : neuvième prieur des Chartreux,Pierre Melquiond,Brié et Angonnes,"Bâtiments et édifices , Religions , Personnages remarquables",-
Mémoire n°07,Un peu de toponymie,André Frances,Vizille,"Patois , Toponymie",-
Mémoire n°07,Visite de l'évêque de Grenoble : 1672 à Séchilienne,Bernard Mingone,Séchilienne,"Bâtiments et édifices , Religions",-
Mémoire n°07,Les vins futés de nos grands-mères,Germaine Billon,Saint Pierre de Mésage,Cuisine et recettes,-
Mémoire n°07,Souvenirs autour de St Firmin,Aline Pignat,Notre Dame de Mésage,"Bâtiments et édifices , Religions",-
Mémoire n°07,Adolphe Delleda : coureur cycliste,Jean Guitton,Vizille,Sport,-
Mémoire n°07,Docteur Billerey à Brié,Pierre Melquiond,Brié et Angonnes,"Personnages remarquables , Médecine",-
Mémoire n°07,22 aout 1944 : le film oublié,Robert Aillaud,Vizille,"Guerres , Grandes périodes",-
Mémoire n°07,Le moulin neuf de Tavernolles,Richard Dupuy,Brié et Angonnes,"Vie locale , Activités agricoles",-
Mémoire n°07,Métiers ambulants,Germaine Billon,Pays vizillois,Vie locale,-
Mémoire n°07,Bibliographie et sources : le Prieuré de Vizille,Pierre Melquiond,Vizille,"Bâtiments et édifices , Religions",-
Mémoire n°07,Il était une fois à Jarrie : les travaux des champs,Jeanette Cheveu D'or,Jarrie,Vie locale,-
Mémoire n°08,Facheux XXe siècle : St Michel de Connexe,Robert Aillaud,"Champ sur Drac , Séchilienne",Actualités,-
Mémoire n°08,La vallée de la Romanche,Paul Wohlschlegel,Pays vizillois,"Eau, rivières, canaux et fontaines",-
Mémoire n°08,Un instrument insolite,Marguerite Vianney-Liaud,Herbeys,Vie locale,-
Mémoire n°08,15 mars 1777 : testament de l'abbé de Beauregard,Pierre Coing Boyat,Jarrie,"Religions , Personnages remarquables",-
Mémoire n°08,Tournerie de Vaulnaveys le haut,Josiane Morel,Vaulnaveys,Activités artisanales,-
Mémoire n°08,La pierre cerise,"André Falco , Edith Falco",Saint Pierre de Mésage,,-
Mémoire n°08,"Une belle trouvaille, un bon réflexe",Robert Aillaud,Jarrie,Archéologie,-
Mémoire n°08,St Barthélémy : église raconte moi ton histoire,Michel Vial,Saint Barthélémy de Séchilienne,"Bâtiments et édifices , Religions",-
Mémoire n°08,Il était une fois Jarrie : les plaisirs de neige,Jeanette Cheveu D'or,Jarrie,"Vie locale , Sport",-
Mémoire n°08,Le rideau de scène de la cité Navarre,Sylvie Vincent,Champ sur Drac,,-
Mémoire n°08,Un contrat d'apprentissage : 1895 à Brié,Pierre Melquiond,Brié et Angonnes,Documents remarquables,-
Mémoire n°08,Traditions et coutumes dans la région,Germaine Billon,Saint Pierre de Mésage,Vie locale,-
Mémoire n°08,Construction d'un pont Tarron par le génie,Robert Aillaud,Vizille,Voies de communication,-
Mémoire n°08,"Renards d'aujourd'hui, loups d'autrefois",Aline Pignat,Séchilienne,"Vie locale , Histoires",-
Mémoire n°08,La croix de Chamrousse,Raymond Joffre,Chamrousse,"Tourisme , Lieux remarquables",-
Mémoire n°08,Bibliographie et sources,Pierre Melquiond,Brié et Angonnes,Documents remarquables,-
Mémoire n°09,Au revoir père Meyer,Jeanette Cheveu D'or,Champ sur Drac,Actualités,-
Mémoire n°09,Attention : un malentendu peut en cacher un autre,Louis Bourdat,Vizille,Vie locale,-
Mémoire n°09,Une soirée inoubliable,Aline Pignat,Notre Dame de Mésage,Vie locale,-
Mémoire n°09,La St Barnard (et chanson),Aline Pignat,Notre Dame de Mésage,Vie locale,-
Mémoire n°09,Vie religieuse à Vaulnaveys,Marguerite Vianney-Liaud,Vaulnaveys le haut,"Bâtiments et édifices , Religions",-
Mémoire n°09,I - Les aventures de Charvet - Citoyen vizillois,Gérard Mingat,Vizille,"Grandes périodes , Personnages remarquables",-
Mémoire n°09,Conventions rapport,Adrienne Celso,Bresson,"Vie locale , Documents remarquables",-
Mémoire n°09,Cure et littérature à Uriage,Pierre Bourdat,Uriage,Vie locale,-
Mémoire n°09,La bataille de St Barthélémy de Séchilienne,Bernard Mingone,Saint Barthélémy de Séchilienne,"Religions , Guerres",-
Mémoire n°09,Les sapeurs pompiers St Georgeois,Fernand Boeuf,Saint Georges de Commiers,Vie locale,-
Mémoire n°09,Chantier archéologique de Varces,Eric Plassot,Varces,Archéologie,-
Mémoire n°10,Naissance d'un blason,Gilbert Vanel,Vaulnaveys le bas,"Généalogie , Héraldique",-
Mémoire n°10,II - Les aventures de Charvet,Gérard Mingat,Vizille,"Grandes périodes , Personnages remarquables",-
Mémoire n°10,Paysages du canton de Vizille,Paul Wohlschlegel,Pays vizillois,Vie locale,-
Mémoire n°10,Vizille 1711 : un contrat d'apprentissage,Pierre Melquiond,Vizille,Documents remarquables,-
Mémoire n°10,Chateau d'Herbeys,Marguerite Vianney-Liaud,Herbeys,Bâtiments et édifices,-
Mémoire n°10,Enfant à Vizille dans les années 30,Jean Perrin,Vizille,Vie locale,-
Mémoire n°10,Religion réformée - Brié en 1727,Pierre Melquiond,Brié et Angonnes,"Bâtiments et édifices , Religions",-
Mémoire n°10,St Pierre de Mésage - son église,Michel Vial,Saint Pierre de Mésage,"Bâtiments et édifices , Religions",-
Mémoire n°10,Que ferons-nous de nos églises ?,Claire Marconnet,Pays vizillois,"Bâtiments et édifices , Religions",-
Mémoire n°10,Familles nobles du M.A. à Brié,Pierre Melquiond,Brié et Angonnes,"Généalogie , Héraldique",-
Mémoire n°10,Un intérieur paysan en 1710 et 1880,Pierre Melquiond,"Brié et Angonnes , Saint Pierre de Mésage",Documents remarquables,-
Mémoire n°10,"Le ""port"" de Gavet",Yves Marcel,Livet et Gavet,"Voies de communication , Eau, rivières, canaux et fontaines",-
Mémoire n°10,Comment fut fixé le prix du pain à Vizille en 1615,Pierre Coing Boyat,Vizille,"Vie locale , Documents remarquables",-
Mémoire n°10,Le village nègre,Gabriel Perrin,Vizille,Vie locale,-
Mémoire n°11,Le raffour de la montagne du Péage,"André Falco , Edith Falco",Vizille,"Mines et minéralogie , Activités industrielles",-
Mémoire n°11,Balade automnale d'un enfant vers 1930,Aline Pignat,Notre Dame de Mésage,"Vie locale , Patois , Toponymie",-
Mémoire n°11,Lo Toëne de Monchaffrey,Raymond Joffre,Vaulnaveys le bas,"Patois , Toponymie",-
Mémoire n°11,III - Les aventures de Charvet,Gérard Mingat,Vizille,"Grandes périodes , Personnages remarquables",-
Mémoire n°11,L'histoire du Mont-Larron,Paul Courteaud,Vaulnaveys le bas,"Vie locale , Patois , Toponymie",-
Mémoire n°11,Missionnaire de la Salette : le révérend Père Archier,Germaine Billon,Saint Pierre de Mésage,"Religions , Personnages remarquables",-
Mémoire n°11,Archéologie : la plaine du Lavanchon,Eric Plassot,Saint Paul de Varces,Archéologie,-
Mémoire n°11,Le musée historique de la vallée de la Romanche,Caroline Curnier,Livet et Gavet,Actualités,-
Mémoire n°11,En 1782 : les vaches de Brié étaient-elles folles ?,Pierre Melquiond,Brié et Angonnes,"Vie locale , Histoires",-
Mémoire n°11,Quand Jean-Jacques Rousseau cherchait une maison,Pierre Melquiond,Brié et Angonnes,Personnages remarquables,-
Mémoire n°11,Souvenir des usines Keller,"André Clergeot , Yvette Emieux",Livet et Gavet,Activités industrielles,-
Mémoire n°11,Il était une fois Jarrie : les commerces,Jeanette Cheveu D'or,Jarrie,Vie locale,-
Mémoire n°11,Retour à l'école des cadres d'Uriage,Pierre Bourdat,Uriage,Enseignement,-
Mémoire n°11,Soirée Rigodon à Pellafol 10 aout 1996,Germaine Billon,Pellafol,Actualités,-
Mémoire n°11,Pique-nique avec les amis de la vallée de la Gresse,Germaine Billon,Monestier de Clermont,Actualités,-
Mémoire n°11,Les deux mulets (poème),"Gérard Mingat , Michel Vial",Vaulnaveys le bas,"Patois , Toponymie , Histoires",-
Mémoire n°12,I - Les registres paroissiaux de Brié,Pierre Melquiond,Brié et Angonnes,"Bâtiments et édifices , Religions , Documents remarquables",-
Mémoire n°12,IV - Les aventures de Charvet,Gérard Mingat,Vizille,"Grandes périodes , Personnages remarquables",-
Mémoire n°12,Le plâtre d'Herbeys,Marguerite Vianney-Liaud,Herbeys,"Patois , Toponymie",-
Mémoire n°12,Un aspect de la vie des campagnes - St Barthélémy de Séchilienne,Bernard Mingone,Saint Barthélémy de Séchilienne,Vie locale,-
Mémoire n°12,18 février 1944,Jean Perrin,Vizille,"Guerres , Grandes périodes",-
Mémoire n°12,Vizille fait divers : 18 février 1944,Louis Girard-Reydet,Vizille,"Guerres , Grandes périodes",-
Mémoire n°12,Les scouts de Vizille,Jean Fagno,Vizille,Vie locale,-
Mémoire n°12,Moulin syndical de Vaulnaveys le haut,Anne Cayol Gerin,Vaulnaveys le haut,Activités agricoles,-
Mémoire n°12,La chartreuse de Prémol,Marguerite Vianney-Liaud,Vaulnaveys le haut,"Bâtiments et édifices , Religions",-
Mémoire n°12,Dramatiques évènements aux Angonnes,Pierre Melquiond,Brié et Angonnes,Evènements,-
Mémoire n°12,Toponymie et origine des noms des communes,Pierre Melquiond,Pays vizillois,"Patois , Toponymie",-
Mémoire n°12,Bibliographie et sources,Pierre Melquiond,Pays vizillois,Documents remarquables,-
Mémoire n°13,"""L'aigle a deux têtes"" vu par Raymond Voinquel",Alain Chevalier,Vizille,"Vie locale , Bâtiments et édifices",-
Mémoire n°13,II - Les registres paroissiaux de Brié,Pierre Melquiond,Brié et Angonnes,"Vie locale , Documents remarquables",-
Mémoire n°13,Défense et illustration du patrimoine,Pierre Melquiond,Brié et Angonnes,", Bâtiments et édifices , Religions",-
Mémoire n°13,Il revient : retour de Napoléon,Pierre Melquiond,Brié et Angonnes,Evènements,-
Mémoire n°13,Un projet de monument commémoratif du passage de Napoléon,Roger Morard,Laffrey,Evènements,-
Mémoire n°13,Les conscrits (St Pierre et Notre Dame),"Germaine Billon , Aline Pignat","Notre Dame de Mésage , Saint Pierre de Mésage",Vie locale,-
Mémoire n°13,"Le battage, du fléau à la batteuse",Germaine Billon,Saint Pierre de Mésage,Vie locale,-
Mémoire n°13,"Une coutume religieuse : ""le pain bénit""",Gilbert Gacon,Champ sur Drac,Religions,-
Mémoire n°13,V - Les aventures de Charvet : 1814-1816,Gérard Mingat,Vizille,"Grandes périodes , Personnages remarquables",-
Mémoire n°13,Journées du patrimoine 21 septembre 1997,Germaine Billon,Grenoble,Actualités,-
Mémoire n°14,La croix du Mottet,Michel Vial,Séchilienne,"Bâtiments et édifices , Religions",-
Mémoire n°14,A propos de cloche,Suzanne Ehrhard,Brié et Angonnes,"Patois , Toponymie",-
Mémoire n°14,Un curé de choc à St Martin de la Cluze,Pierre Coing Boyat,Saint Martin de la Cluze,Religions,-
Mémoire n°14,III - Les registres paroissiaux de Brié (fin),Pierre Melquiond,Brié et Angonnes,"Vie locale , Documents remarquables",-
Mémoire n°14,Quand les vizillois chantaient,Robert Aillaud,Vizille,"Vie locale , Documents remarquables",-
Mémoire n°14,VI - Les aventures de Charvet,Gérard Mingat,Vizille,"Grandes périodes , Personnages remarquables",-
Mémoire n°14,Les débuts du tourisme dans notre région,Marie-Thérèse Emery,Pays vizillois,"Vie locale , Documents remarquables",-
Mémoire n°14,Un mariage compromis à Jarrie,Pierre Coing Boyat,Jarrie,Vie locale,-
Mémoire n°14,Avis de recherche,Robert Aillaud,Vizille,Enseignement,-
Mémoire n°14,Un trépas très suivi,Bernard Mingone,Vaulnaveys le haut,Vie locale,-
Mémoire n°14,Chamrousse : station olympique de Duhamel à Killy,Bernadette Belmont,Chamrousse,"Tourisme , Lieux remarquables , Sport",-
Mémoire n°14,Le monologue de Janin,Jean Millet,Pays vizillois,"Patois , Toponymie",-
Mémoire n°14,Histoire d'un site industriel,Alain Emery,Jarrie,Activités industrielles,-
Mémoire n°14,Vogues avec violence,Daniel Templier,Cholonge,Vie locale,-
Mémoire n°14,Le dore,Georges Mancat,La Morte,Personnages remarquables,-
Mémoire n°14,Traditions et coutumes de Vizille,Claude Muller,Vizille,Vie locale,-
Mémoire n°14,Actualités : les 20 ans de Bonrepos,Robert Aillaud,Jarrie,Actualités,-
Mémoire n°14,Abbaye de Boscodon : sortie du 6 juin 1998,Michel Vial,Crots,Actualités,-
Mémoire n°14 bis,Le tour de France en pays Vizillois (n° spécial),"Gérard Mingat , Jean Guitton",Pays vizillois,Sport,-
Mémoire n°15,Le chatelain d'Herbeys,Marguerite Vianney-Liaud,Herbeys,Vie locale,-
Mémoire n°15,Les cloutiers de St Barthélémy,Bernard Mingone,Saint Barthélémy de Séchilienne,"Mines et minéralogie , Activités artisanales",-
Mémoire n°15,Le président Gaston Doumergue à Prémol,Lucienne Cret,Chamrousse,Personnages remarquables,-
Mémoire n°15,Le trolleybus du Péage de Vizille,Jean Perrin,Vizille,Voies de communication,-
Mémoire n°15,VII - Les aventures de Charvet (fin),Gérard Mingat,Vizille,"Grandes périodes , Personnages remarquables",-
Mémoire n°15,"A la fin du XVIIe siècle, un évêque en visite pastorale dans notre région",Michel Vial,"Notre Dame de Mésage , Saint Pierre de Mésage","Religions , Personnages remarquables",-
Mémoire n°15,L'appareil judiciaire grenoblois Napoléon et la magistrature,Roger Morard,Grenoble,Vie locale,-
Mémoire n°16,Le chateau de Bonrepos,Pierre Coing Boyat,Jarrie,Bâtiments et édifices,-
Mémoire n°16,L'historique de la fusillade des Tillegrets,Fernand Boeuf,Saint Georges de Commiers,"Guerres , Grandes périodes",-
Mémoire n°16,I - Le fort de Montavie : les fortifications,Michaël Galle,Brié et Angonnes,Bâtiments et édifices,-
Mémoire n°16,L'abjuration,Germaine Billon,Saint Pierre de Mésage,Documents remarquables,-
Mémoire n°16,I - Les visites pastorales du Cardinal Le Camus en Pays Vizillois,Michel Vial,"Brié et Angonnes , Herbeys","Religions , Personnages remarquables",-
Mémoire n°16,Jadis et naguère Chamrousse-Béranger,Bernadette Belmont,Chamrousse,"Tourisme , Lieux remarquables",-
Mémoire n°17,II - Le fort de Montavie : un projet de reconversion,Michaël Galle,Brié et Angonnes,Bâtiments et édifices,-
Mémoire n°17,Un cheval peu ordinaire,Jeanette Cheveu D'or,Jarrie,"Vie locale , Histoires",-
Mémoire n°17,Il était une fois Jarrie : la colonie de St Maurice en Trièves,Jeanette Cheveu D'or,Jarrie,Vie locale,-
Mémoire n°17,La restauration de la chapelle des Angonnes,Pierre Melquiond,Brié et Angonnes,"Bâtiments et édifices , Religions",-
Mémoire n°17,Comme autrefois,Aline Pignat,Notre Dame de Mésage,Vie locale,-
Mémoire n°17,Accident du grand mur dans la cote de Laffrey : 25 aout 1946,Germaine Billon,Saint Pierre de Mésage,Evènements,-
Mémoire n°17,Relation des incidents survenus à Jarrie en juillet et août 44,Georgette Balor,Jarrie,"Guerres , Grandes périodes",-
Mémoire n°17,L'art roman dans le canton de Vizille,Paul Wohlschlegel,Notre Dame de Mésage,"Bâtiments et édifices , Religions",-
Mémoire n°17,Chroniques de Champagnier dans les grimoires de Bonrepos,Pierre Coing Boyat,Champagnier,"Vie locale , Documents remarquables",-
Mémoire n°17,II - Les visites pastorales du Cardinal Le Camus en Pays Vizillois,Michel Vial,Pays vizillois,"Religions , Personnages remarquables",-
Mémoire n°18,Il était une fois Jarrie : traditions chrétiennes d'antan,Jeanette Cheveu D'or,Jarrie,Religions,-
Mémoire n°18,1943 - 1944 : la voiture au gazo de mon père,Jean Perrin,Vizille,"Vie locale , Guerres , Grandes périodes",-
Mémoire n°18,29 février 1632 : ordonnance de médecins lyonnais,Pierre Coing Boyat,Lyon,Médecine,-
Mémoire n°18,St Jean de Vaulx,Germaine Billon,Saint Jean de Vaux,Vie locale,-
Mémoire n°18,Comment Lesdiguières punit cruellement Jacquet le Maraudeur,Germaine Billon,Vizille,Contes et légendes,-
Mémoire n°18,Les distractions vers les années 30,Aline Pignat,Notre Dame de Mésage,Vie locale,-
Mémoire n°18,"Vizille, camp des veilles ou pays des eaux",André Frances,Vizille,"Patois , Toponymie",-
Mémoire n°18,16 juillt 1911 : Remédo pire que le mâ,Raymond Joffre,Vaulnaveys le bas,"Patois , Toponymie",-
Mémoire n°18,III - Les visites pastorales du Cardinal Le Camus en Pays Vizillois,Michel Vial,"Séchilienne , Saint Barthélémy de Séchilienne","Religions , Personnages remarquables",-
Mémoire n°18,III - Le fort de Montavie : un projt de reconversion,Michaël Galle,Brié et Angonnes,Bâtiments et édifices,-
Mémoire n°18,Mémoire d'une communauté : visages de Jarrie,Robert Aillaud,"Jarrie , Vizille",Actualités,-
Mémoire n°19,Il était une fois Jarrie : nos pélerinages,Jeanette Cheveu D'or,Jarrie,"Vie locale , Religions",-
Mémoire n°19,La famille de Saint-Léger fête 1000 ans d'histoire,Bernard De Saint-Léger,Jarrie,"Généalogie , Héraldique",-
Mémoire n°19,Sur les traces d'André Charvet : citoyen vizillois,Robert Aillaud,Vizille,Documents remarquables,-
Mémoire n°19,"Belledonne ou ""qui sait le mot sait les choses"" (Platon dans ""Le Cratyle"")",Raymond Joffre,Belledonne,"Tourisme , Lieux remarquables",-
Mémoire n°19,Contrat de mariage,Yves Marcel,Séchilienne,"Documents remarquables , Généalogie , Héraldique",-
Mémoire n°19,La chapelle baroque des Angonnes,Pierre Melquiond,Brié et Angonnes,"Bâtiments et édifices , Religions",-
