Numéro,Titre,Auteur(s),Theme(s),Ville(s)
Mémoire n°01,A propos du Prieuré de Vizille  ,['Jeanne de gaudenzi'],"['Bâtiments et édifices', 'Religions']",Vizille
Mémoire n°01,I - Un séjour à émotion de Marcel Deprez  ,['Alain emery'],['Personnages remarquables'],Jarrie
Mémoire n°01,Un grand mariage à Vizille au XVIIIe siècle  ,['Germaine billon'],['Evènements'],Vizille
Mémoire n°01,La chapelle Sainte Madeleine  ,['Gilbert gacon'],"['Bâtiments et édifices', 'Religions']",Champ sur drac
Mémoire n°01,La chapelle Sainte Madeleine  ,['Gilbert gacon'],"['Bâtiments et édifices', 'Religions']",Notre dame de mésage
Mémoire n°01,Les femmes dans la guerre de 14-18 - Seconde partie )  ,['Marie-claude argoud'],"['Grandes périodes', 'Guerres', 'Histoires', 'Souvenirs']",Pays vizillois
Mémoire n°01,Les femmes dans la guerre de 14-18 - Seconde partie )  ,['Marie-claude argoud'],"['Grandes périodes', 'Guerres', 'Histoires', 'Souvenirs']",Vizille
Mémoire n°01,Comment a commencé ma collection d'objets sur les JeuxOlympiques d'hiver de Grenoble  ,['Marc robert'],"['Evènements', 'Récits', 'Sport']",Vizille
Mémoire n°01,La page utile  ,[],"[""Vie de l'association""]",Vizille
Mémoire n°02,Premiers noms connus à Séchilienne  ,['Bernard mingone'],"['Généalogie', 'Héraldique']",Séchilienne
Mémoire n°02,II - Biographie de Marcel Deprez  ,['Alain emery'],['Personnages remarquables'],Jarrie
Mémoire n°02,Chapelle de Montchaboud  ,['Jacques jérome'],"['Bâtiments et édifices', 'Religions']",Montchaboud
Mémoire n°02,Incendie de Champ village  ,['Gérard odore'],['Evènements'],Champ sur drac
Mémoire n°02,Drame dans la montagne de Vaulnaveys  ,['Albert gaillard'],['Evènements'],Vaulnaveys le haut
Mémoire n°02,Propriétaires successifs du Château de Vizille  ,['Gérard mingat'],"['Bâtiments et édifices', 'Personnages remarquables']",Vizille
Mémoire n°02,Le secret de la mine  ,['Laurent vivarat'],"['Evènements', 'Mines et minéralogie']",Vaulnaveys le haut
Mémoire n°02,"Foires, fêtes et loisirs à Brié  ",['Pierre melquiond'],['Vie locale'],Brié et angonnes
Mémoire n°02,Recettes dauphinoises  ,['Adrienne celso'],['Cuisine et recettes'],Jarrie
Mémoire n°02,Lou rena et lou courba  ,['Valérie robert-michon'],"['Histoires', 'Patois', 'Toponymie']",Pays vizillois
Mémoire n°02,Vizille en feu  ,['Bernard mingone'],['Evènements'],Vizille
Mémoire n°02,Evolution de l'art religieux : St Hippolyte des Angonnes  ,['Paul wohlschlegel'],"['Bâtiments et édifices', 'Religions']",Brié et angonnes
Mémoire n°02,Louis XIII et Richelieu à Jarrie  ,['Adrienne celso'],['Personnages remarquables'],Jarrie
Mémoire n°02,Manière de se soigner autrefois  ,['Marguerite vianney-liaud'],['Médecine'],Herbeys
Mémoire n°02,Bibliographie et sources  ,['Pierre melquiond'],['Documents remarquables'],Pays vizillois
Mémoire n°03,La romance des bruleurs de loups  ,['Paul berret'],"['Contes et légendes', 'Histoires']",Pays vizillois
Mémoire n°03,Stendhal en pays vizillois  ,['Pierre melquiond'],"['Personnages remarquables', 'Vie locale']",Pays vizillois
Mémoire n°03,Le train dans le canton de Vizille  ,['Yvette virot'],['Voies de communication'],Jarrie
Mémoire n°03,"Peillaud, le guide de l'Ile Falcon  ",['Raymond joffre'],"['Lieux remarquables', 'Personnages remarquables', 'Tourisme']",Saint barthélémy de séchilienne
Mémoire n°03,Saint François Régis (chapelle)  ,['Gilles strappazzon'],"['Bâtiments et édifices', 'Religions']",Saint barthélémy de séchilienne
Mémoire n°03,Vizille et le tour de France  ,['Jean guitton'],['Sport'],Vizille
Mémoire n°03,Saint Georges de Commiers  ,['Fernand boeuf'],"['Généalogie', 'Héraldique']",Saint georges de commiers
Mémoire n°03,La marmite de Lesdiguières  ,['Gérard mingat'],['Cuisine et recettes'],Vizille
Mémoire n°03,III - Marcel Deprez : l'expérience de Jarrie  ,['Alain emery'],"['Activités industrielles', 'Personnages remarquables']",Jarrie
Mémoire n°03,Vizille il y a 100 ans  ,['Robert aillaud'],['Vie locale'],Vizille
Mémoire n°03,Journées mésageoises : exposition St-Pierre  ,['Robert aillaud'],['Actualités'],Saint pierre de mésage
Mémoire n°03,L'église de Vizille : un siècle de péripéties  ,['Raoul naz'],"['Bâtiments et édifices', 'Religions']",Vizille
Mémoire n°03,Le certificat d'études primaires  ,['Paul wohlschlegel'],['Enseignement'],Brié et angonnes
Mémoire n°03,Bibliographie et sources  ,['Pierre melquiond'],['Documents remarquables'],Pays vizillois
Mémoire n°04,La vallée de la Romanche (moyenne et basse)  ,['Paul wohlschlegel'],"['Canaux et fontaines', 'Eau', 'Rivières']",Vizille
Mémoire n°04,Les docteurs Bonnardon  ,['Anne-marie causse'],"['Médecine', 'Personnages remarquables']",Vizille
Mémoire n°04,Les tribulations du Baptiste  ,['Aline pignat'],"['Personnages remarquables', 'Vie locale']",Séchilienne
Mémoire n°04,Contrat de mariage  ,['Bernard mingone'],"['Généalogie', 'Héraldique']",Séchilienne
Mémoire n°04,Villeneuve d'Uriage et son église  ,['Marguerite vianney-liaud'],"['Bâtiments et édifices', 'Religions']",Villeneuve d'uriage
Mémoire n°04,Cinquante ans déjà : la dissolution du 6e BCA  ,['Paul blanc'],"['Grandes périodes', 'Guerres']",Brié et angonnes
Mémoire n°04,Le mariage de Céline : la mariée humoriste  ,['René simiand'],"['Evènements', 'Histoires']",Jarrie
Mémoire n°04,Le train de St Georges  ,['Fernand boeuf'],['Voies de communication'],Saint georges de commiers
Mémoire n°04,De Grenoble à Brié  ,['Henri rey'],['Voies de communication'],Brié et angonnes
Mémoire n°04,La guerre de 14/18  ,"['Aline pignat', 'Gérard mingat']","['Grandes périodes', 'Guerres']",Pays vizillois
Mémoire n°04,Le quartier de la Gaffe  ,['Jean fagno'],['Vie locale'],Vizille
Mémoire n°04,Bibliographie et sources  ,['Pierre melquiond'],['Documents remarquables'],Pays vizillois
Mémoire n°04,Protection et restauration du Prieuré de Vizille  ,['Robert aillaud'],"['Bâtiments et édifices', 'Religions']",Vizille
Mémoire n°05,Organigramme de la direction du patrimoine  ,['Robert aillaud'],[],Isère
Mémoire n°05,Notre patrimoine : signification  ,['Robert aillaud'],[],Pays vizillois
Mémoire n°05,Le musée de Champ sur Drac  ,['Robert aillaud'],['Actualités'],Champ sur drac
Mémoire n°05,Faits divers : Incendie des Traverses à St Pierre de Mésage  ,['Germaine billon'],['Evènements'],Saint pierre de mésage
Mémoire n°05,Villages Laffrey et St Jean de Vaulx  ,['Robert aillaud'],['Vie locale'],Laffrey
Mémoire n°05,Villages Laffrey et St Jean de Vaulx  ,['Robert aillaud'],['Vie locale'],Saint jean de vaux
Mémoire n°05,Route de Brié  ,['Pierre melquiond'],['Voies de communication'],Brié et angonnes
Mémoire n°05,Les papeteries de Vizille : plus de 400 ans cette année  ,['Robert aillaud'],['Activités industrielles'],Vizille
Mémoire n°05,Prieuré de Vizille : quoi de neuf !  ,['Robert aillaud'],"['Bâtiments et édifices', 'Religions']",Vizille
Mémoire n°05,IV - Transport d'électricité - Marcel Deprez  ,['Alain emery'],"['Activités industrielles', 'Personnages remarquables']",Jarrie
Mémoire n°05,Une exploitation agricole au XVIIIe - St Pierre de Mésage  ,['André glaudas'],['Vie locale'],Saint pierre de mésage
Mémoire n°05,La formation des groupes de résistance à Vizille  ,['Gérard mingat'],"['Grandes périodes', 'Guerres']",Vizille
Mémoire n°05,Le Prieuré de St Michel de Connexe  ,['Gilbert gacon'],"['Bâtiments et édifices', 'Religions']",Champ sur drac
Mémoire n°05,Adduction d'eau à St Jean et Notre Dame de Vaulx  ,['René villiot'],"['Canaux et fontaines', 'Eau', 'Rivières']",Saint jean de vaux
Mémoire n°06,La basse vallée de la Romanche  ,['Paul wohlschlegel'],"['Canaux et fontaines', 'Eau', 'Rivières']",Vizille
Mémoire n°06,I - La vie en 1793 à Champ sur Drac sous la révolution ,['Gilbert gacon'],['Grandes périodes'],Champ sur drac
Mémoire n°06,Métiers d'antan  ,['Fernand boeuf'],['Activités artisanales'],Saint georges de commiers
Mémoire n°06,50 ans déjà : la Rafle du 18 février 1944  ,"['Gérard mingat', 'Robert aillaud']","['Grandes périodes', 'Guerres']",Vizille
Mémoire n°06,I - le fort des 4 seigneurs  ,"['Marguerite vianney-liaud', 'Robert bornecque']",['Bâtiments et édifices'],Herbeys
Mémoire n°06,II - le fort des 4 seigneurs  ,"['Marguerite vianney-liaud', 'Robert bornecque']",['Bâtiments et édifices'],Herbeys
Mémoire n°06,Poème d'hier : si mes grands-parents revenaient  ,['Aline pignat'],['Vie locale'],Notre dame de mésage
Mémoire n°06,Vie quotidienne : la buille chez nos grans-mères  ,['Germaine billon'],['Vie locale'],Saint pierre de mésage
Mémoire n°06,Vins futés des grands-mères  ,['Germaine billon'],['Cuisine et recettes'],Notre dame de mésage
Mémoire n°06,Bibliographie et sources  ,['Pierre melquiond'],['Documents remarquables'],Pays vizillois
Mémoire n°06 bis,Libération du pays vizillois - 22 aout 1944 (n° spécial)  ,"['Gérard mingat', 'Robert aillaud']","['Grandes périodes', 'Guerres']",Pays vizillois
Mémoire n°07,II - La vie en 1793 à Champ sur Drac sous la révolution ,['Gilbert gacon'],['Grandes périodes'],Champ sur drac
Mémoire n°07,Guigues II : neuvième prieur des Chartreux  ,['Pierre melquiond'],"['Bâtiments et édifices', 'Personnages remarquables', 'Religions']",Brié et angonnes
Mémoire n°07,Un peu de toponymie  ,['André frances'],"['Patois', 'Toponymie']",Vizille
Mémoire n°07,Visite de l'évêque de Grenoble : 1672 à Séchilienne  ,['Bernard mingone'],"['Bâtiments et édifices', 'Religions']",Séchilienne
Mémoire n°07,Les vins futés de nos grands-mères  ,['Germaine billon'],['Cuisine et recettes'],Saint pierre de mésage
Mémoire n°07,Souvenirs autour de St Firmin  ,['Aline pignat'],"['Bâtiments et édifices', 'Religions']",Notre dame de mésage
Mémoire n°07,Adolphe Delleda : coureur cycliste  ,['Jean guitton'],['Sport'],Vizille
Mémoire n°07,Docteur Billerey à Brié  ,['Pierre melquiond'],"['Médecine', 'Personnages remarquables']",Brié et angonnes
Mémoire n°07,22 aout 1944 : le film oublié  ,['Robert aillaud'],"['Grandes périodes', 'Guerres']",Vizille
Mémoire n°07,Le moulin neuf de Tavernolles  ,['Richard dupuy'],"['Activités agricoles', 'Vie locale']",Brié et angonnes
Mémoire n°07,Métiers ambulants  ,['Germaine billon'],['Vie locale'],Pays vizillois
Mémoire n°07,Bibliographie et sources : le Prieuré de Vizille  ,['Pierre melquiond'],"['Bâtiments et édifices', 'Religions']",Vizille
Mémoire n°07,Il était une fois à Jarrie : les travaux des champs  ,"[""Jeanette cheveu d'or""]",['Vie locale'],Jarrie
Mémoire n°08,Facheux XXe siècle : St Michel de Connexe  ,['Robert aillaud'],['Actualités'],Champ sur drac
Mémoire n°08,Facheux XXe siècle : St Michel de Connexe  ,['Robert aillaud'],['Actualités'],Séchilienne
Mémoire n°08,La vallée de la Romanche  ,['Paul wohlschlegel'],"['Canaux et fontaines', 'Eau', 'Rivières']",Pays vizillois
Mémoire n°08,Un instrument insolite  ,['Marguerite vianney-liaud'],['Vie locale'],Herbeys
Mémoire n°08,15 mars 1777 : testament de l'abbé de Beauregard  ,['Pierre coing boyat'],"['Personnages remarquables', 'Religions']",Jarrie
Mémoire n°08,Tournerie de Vaulnaveys le haut  ,['Josiane morel'],['Activités artisanales'],Vaulnaveys
Mémoire n°08,La pierre cerise  ,"['André falco', 'Edith falco']",[],Saint pierre de mésage
Mémoire n°08,"Une belle trouvaille, un bon réflexe  ",['Robert aillaud'],['Archéologie'],Jarrie
Mémoire n°08,St Barthélémy : église raconte moi ton histoire  ,['Michel vial'],"['Bâtiments et édifices', 'Religions']",Saint barthélémy de séchilienne
Mémoire n°08,Il était une fois Jarrie : les plaisirs de neige  ,"[""Jeanette cheveu d'or""]","['Sport', 'Vie locale']",Jarrie
Mémoire n°08,Le rideau de scène de la cité Navarre  ,['Sylvie vincent'],[],Champ sur drac
Mémoire n°08,Un contrat d'apprentissage : 1895 à Brié  ,['Pierre melquiond'],['Documents remarquables'],Brié et angonnes
Mémoire n°08,Traditions et coutumes dans la région  ,['Germaine billon'],['Vie locale'],Saint pierre de mésage
Mémoire n°08,Construction d'un pont Tarron par le génie  ,['Robert aillaud'],['Voies de communication'],Vizille
Mémoire n°08,"Renards d'aujourd'hui, loups d'autrefois  ",['Aline pignat'],"['Histoires', 'Vie locale']",Séchilienne
Mémoire n°08,La croix de Chamrousse  ,['Raymond joffre'],"['Lieux remarquables', 'Tourisme']",Chamrousse
Mémoire n°08,Bibliographie et sources  ,['Pierre melquiond'],['Documents remarquables'],Brié et angonnes
Mémoire n°09,Au revoir père Meyer  ,"[""Jeanette cheveu d'or""]",['Actualités'],Champ sur drac
Mémoire n°09,Attention : un malentendu peut en cacher un autre  ,['Louis bourdat'],['Vie locale'],Vizille
Mémoire n°09,Une soirée inoubliable  ,['Aline pignat'],['Vie locale'],Notre dame de mésage
Mémoire n°09,La St Barnard (et chanson)  ,['Aline pignat'],['Vie locale'],Notre dame de mésage
Mémoire n°09,Vie religieuse à Vaulnaveys  ,['Marguerite vianney-liaud'],"['Bâtiments et édifices', 'Religions']",Vaulnaveys le haut
Mémoire n°09,I - Les aventures de Charvet - Citoyen vizillois  ,['Gérard mingat'],"['Grandes périodes', 'Personnages remarquables']",Vizille
Mémoire n°09,Conventions rapport  ,['Adrienne celso'],"['Documents remarquables', 'Vie locale']",Bresson
Mémoire n°09,Cure et littérature à Uriage  ,['Pierre bourdat'],['Vie locale'],Uriage
Mémoire n°09,La bataille de St Barthélémy de Séchilienne  ,['Bernard mingone'],"['Guerres', 'Religions']",Saint barthélémy de séchilienne
Mémoire n°09,Les sapeurs pompiers St Georgeois  ,['Fernand boeuf'],['Vie locale'],Saint georges de commiers
Mémoire n°09,Chantier archéologique de Varces  ,['Eric plassot'],['Archéologie'],Varces
Mémoire n°10,Naissance d'un blason  ,['Gilbert vanel'],"['Généalogie', 'Héraldique']",Vaulnaveys le bas
Mémoire n°10,II - Les aventures de Charvet  ,['Gérard mingat'],"['Grandes périodes', 'Personnages remarquables']",Vizille
Mémoire n°10,Paysages du canton de Vizille  ,['Paul wohlschlegel'],['Vie locale'],Pays vizillois
Mémoire n°10,Vizille 1711 : un contrat d'apprentissage  ,['Pierre melquiond'],['Documents remarquables'],Vizille
Mémoire n°10,Chateau d'Herbeys  ,['Marguerite vianney-liaud'],['Bâtiments et édifices'],Herbeys
Mémoire n°10,Enfant à Vizille dans les années 30  ,['Jean perrin'],['Vie locale'],Vizille
Mémoire n°10,Religion réformée - Brié en 1727  ,['Pierre melquiond'],"['Bâtiments et édifices', 'Religions']",Brié et angonnes
Mémoire n°10,St Pierre de Mésage - son église  ,['Michel vial'],"['Bâtiments et édifices', 'Religions']",Saint pierre de mésage
Mémoire n°10,Que ferons-nous de nos églises ?  ,['Claire marconnet'],"['Bâtiments et édifices', 'Religions']",Pays vizillois
Mémoire n°10,Familles nobles du M.A. à Brié  ,['Pierre melquiond'],"['Généalogie', 'Héraldique']",Brié et angonnes
Mémoire n°10,Un intérieur paysan en 1710 et 1880  ,['Pierre melquiond'],['Documents remarquables'],Brié et angonnes
Mémoire n°10,Un intérieur paysan en 1710 et 1880  ,['Pierre melquiond'],['Documents remarquables'],Saint pierre de mésage
Mémoire n°10,"Le ""port"" de Gavet  ",['Yves marcel'],"['Canaux et fontaines', 'Eau', 'Rivières', 'Voies de communication']",Livet et gavet
Mémoire n°10,Comment fut fixé le prix du pain à Vizille en 1615 ,['Pierre coing boyat'],"['Documents remarquables', 'Vie locale']",Vizille
Mémoire n°10,Le village nègre  ,['Gabriel perrin'],['Vie locale'],Vizille
Mémoire n°11,Le raffour de la montagne du Péage  ,"['André falco', 'Edith falco']","['Activités industrielles', 'Mines et minéralogie']",Vizille
Mémoire n°11,Balade automnale d'un enfant vers 1930  ,['Aline pignat'],"['Patois', 'Toponymie', 'Vie locale']",Notre dame de mésage
Mémoire n°11,Lo Toëne de Monchaffrey  ,['Raymond joffre'],"['Patois', 'Toponymie']",Vaulnaveys le bas
Mémoire n°11,III - Les aventures de Charvet  ,['Gérard mingat'],"['Grandes périodes', 'Personnages remarquables']",Vizille
Mémoire n°11,L'histoire du Mont-Larron  ,['Paul courteaud'],"['Patois', 'Toponymie', 'Vie locale']",Vaulnaveys le bas
Mémoire n°11,Missionnaire de la Salette : le révérend Père Archier  ,['Germaine billon'],"['Personnages remarquables', 'Religions']",Saint pierre de mésage
Mémoire n°11,Archéologie : la plaine du Lavanchon  ,['Eric plassot'],['Archéologie'],Saint paul de varces
Mémoire n°11,Le musée historique de la vallée de la Romanche  ,['Caroline curnier'],['Actualités'],Livet et gavet
Mémoire n°11,En 1782 : les vaches de Brié étaient-elles folles ?  ,['Pierre melquiond'],"['Histoires', 'Vie locale']",Brié et angonnes
Mémoire n°11,Quand Jean-Jacques Rousseau cherchait une maison  ,['Pierre melquiond'],['Personnages remarquables'],Brié et angonnes
Mémoire n°11,Souvenir des usines Keller  ,"['André clergeot', 'Yvette emieux']",['Activités industrielles'],Livet et gavet
Mémoire n°11,Il était une fois Jarrie : les commerces  ,"[""Jeanette cheveu d'or""]",['Vie locale'],Jarrie
Mémoire n°11,Retour à l'école des cadres d'Uriage  ,['Pierre bourdat'],['Enseignement'],Uriage
Mémoire n°11,Soirée Rigodon à Pellafol 10 aout 1996  ,['Germaine billon'],['Actualités'],Pellafol
Mémoire n°11,Pique-nique avec les amis de la vallée de la Gresse  ,['Germaine billon'],['Actualités'],Monestier de clermont
Mémoire n°11,Les deux mulets (poème)  ,"['Gérard mingat', 'Michel vial']","['Histoires', 'Patois', 'Toponymie']",Vaulnaveys le bas
Mémoire n°12,I - Les registres paroissiaux de Brié  ,['Pierre melquiond'],"['Bâtiments et édifices', 'Documents remarquables', 'Religions']",Brié et angonnes
Mémoire n°12,IV - Les aventures de Charvet  ,['Gérard mingat'],"['Grandes périodes', 'Personnages remarquables']",Vizille
Mémoire n°12,Le plâtre d'Herbeys  ,['Marguerite vianney-liaud'],"['Patois', 'Toponymie']",Herbeys
Mémoire n°12,Un aspect de la vie des campagnes - St Barthélémy de Séchilienne ,['Bernard mingone'],['Vie locale'],Saint barthélémy de séchilienne
Mémoire n°12,18 février 1944  ,['Jean perrin'],"['Grandes périodes', 'Guerres']",Vizille
Mémoire n°12,Vizille fait divers : 18 février 1944  ,['Louis girard-reydet'],"['Grandes périodes', 'Guerres']",Vizille
Mémoire n°12,Les scouts de Vizille  ,['Jean fagno'],['Vie locale'],Vizille
Mémoire n°12,Moulin syndical de Vaulnaveys le haut  ,['Anne cayol gerin'],['Activités agricoles'],Vaulnaveys le haut
Mémoire n°12,La chartreuse de Prémol  ,['Marguerite vianney-liaud'],"['Bâtiments et édifices', 'Religions']",Vaulnaveys le haut
Mémoire n°12,Dramatiques évènements aux Angonnes  ,['Pierre melquiond'],['Evènements'],Brié et angonnes
Mémoire n°12,Toponymie et origine des noms des communes  ,['Pierre melquiond'],"['Patois', 'Toponymie']",Pays vizillois
Mémoire n°12,Bibliographie et sources  ,['Pierre melquiond'],['Documents remarquables'],Pays vizillois
Mémoire n°13,"""L'aigle a deux têtes"" vu par Raymond Voinquel  ",['Alain chevalier'],"['Bâtiments et édifices', 'Vie locale']",Vizille
Mémoire n°13,II - Les registres paroissiaux de Brié  ,['Pierre melquiond'],"['Documents remarquables', 'Vie locale']",Brié et angonnes
Mémoire n°13,Défense et illustration du patrimoine  ,['Pierre melquiond'],"['Bâtiments et édifices', 'Religions']",Brié et angonnes
Mémoire n°13,Il revient : retour de Napoléon  ,['Pierre melquiond'],['Evènements'],Brié et angonnes
Mémoire n°13,Un projet de monument commémoratif du passage de Napoléon  ,['Roger morard'],['Evènements'],Laffrey
Mémoire n°13,Les conscrits (St Pierre et Notre Dame)  ,"['Aline pignat', 'Germaine billon']",['Vie locale'],Notre dame de mésage
Mémoire n°13,Les conscrits (St Pierre et Notre Dame)  ,"['Aline pignat', 'Germaine billon']",['Vie locale'],Saint pierre de mésage
Mémoire n°13,"Le battage, du fléau à la batteuse  ",['Germaine billon'],['Vie locale'],Saint pierre de mésage
Mémoire n°13,"Une coutume religieuse : ""le pain bénit""  ",['Gilbert gacon'],['Religions'],Champ sur drac
Mémoire n°13,V - Les aventures de Charvet : 1814-1816  ,['Gérard mingat'],"['Grandes périodes', 'Personnages remarquables']",Vizille
Mémoire n°13,Journées du patrimoine 21 septembre 1997  ,['Germaine billon'],['Actualités'],Grenoble
Mémoire n°14,La croix du Mottet  ,['Michel vial'],"['Bâtiments et édifices', 'Religions']",Séchilienne
Mémoire n°14,A propos de cloche  ,['Suzanne ehrhard'],"['Patois', 'Toponymie']",Brié et angonnes
Mémoire n°14,Un curé de choc à St Martin de la Cluze  ,['Pierre coing boyat'],['Religions'],Saint martin de la cluze
Mémoire n°14,III - Les registres paroissiaux de Brié (fin)  ,['Pierre melquiond'],"['Documents remarquables', 'Vie locale']",Brié et angonnes
Mémoire n°14,Quand les vizillois chantaient  ,['Robert aillaud'],"['Documents remarquables', 'Vie locale']",Vizille
Mémoire n°14,VI - Les aventures de Charvet  ,['Gérard mingat'],"['Grandes périodes', 'Personnages remarquables']",Vizille
Mémoire n°14,Les débuts du tourisme dans notre région  ,['Marie-thérèse emery'],"['Documents remarquables', 'Vie locale']",Pays vizillois
Mémoire n°14,Un mariage compromis à Jarrie  ,['Pierre coing boyat'],['Vie locale'],Jarrie
Mémoire n°14,Avis de recherche  ,['Robert aillaud'],['Enseignement'],Vizille
Mémoire n°14,Un trépas très suivi  ,['Bernard mingone'],['Vie locale'],Vaulnaveys le haut
Mémoire n°14,Chamrousse : station olympique de Duhamel à Killy  ,['Bernadette belmont'],"['Lieux remarquables', 'Sport', 'Tourisme']",Chamrousse
Mémoire n°14,Le monologue de Janin  ,['Jean millet'],"['Patois', 'Toponymie']",Pays vizillois
Mémoire n°14,Histoire d'un site industriel  ,['Alain emery'],['Activités industrielles'],Jarrie
Mémoire n°14,Vogues avec violence  ,['Daniel templier'],['Vie locale'],Cholonge
Mémoire n°14,Le dore  ,['Georges mancat'],['Personnages remarquables'],La morte
Mémoire n°14,Traditions et coutumes de Vizille  ,['Claude muller'],['Vie locale'],Vizille
Mémoire n°14,Actualités : les 20 ans de Bonrepos  ,['Robert aillaud'],['Actualités'],Jarrie
Mémoire n°14,Abbaye de Boscodon : sortie du 6 juin 1998  ,['Michel vial'],['Actualités'],Crots
Mémoire n°14 bis,Le tour de France en pays Vizillois (n° spécial)  ,"['Gérard mingat', 'Jean guitton']",['Sport'],Pays vizillois
Mémoire n°15,Le chatelain d'Herbeys  ,['Marguerite vianney-liaud'],['Vie locale'],Herbeys
Mémoire n°15,Les cloutiers de St Barthélémy  ,['Bernard mingone'],"['Activités artisanales', 'Mines et minéralogie']",Saint barthélémy de séchilienne
Mémoire n°15,Le président Gaston Doumergue à Prémol  ,['Lucienne cret'],['Personnages remarquables'],Chamrousse
Mémoire n°15,Le trolleybus du Péage de Vizille  ,['Jean perrin'],['Voies de communication'],Vizille
Mémoire n°15,VII - Les aventures de Charvet (fin)  ,['Gérard mingat'],"['Grandes périodes', 'Personnages remarquables']",Vizille
Mémoire n°15,"A la fin du XVIIe siècle, un évêque en visite pastorale dans notre région  ",['Michel vial'],"['Personnages remarquables', 'Religions']",Notre dame de mésage
Mémoire n°15,"A la fin du XVIIe siècle, un évêque en visite pastorale dans notre région  ",['Michel vial'],"['Personnages remarquables', 'Religions']",Saint pierre de mésage
Mémoire n°15,L'appareil judiciaire grenoblois Napoléon et la magistrature  ,['Roger morard'],['Vie locale'],Grenoble
Mémoire n°16,Le chateau de Bonrepos  ,['Pierre coing boyat'],['Bâtiments et édifices'],Jarrie
Mémoire n°16,L'historique de la fusillade des Tillegrets  ,['Fernand boeuf'],"['Grandes périodes', 'Guerres']",Saint georges de commiers
Mémoire n°16,I - Le fort de Montavie : les fortifications  ,['Michaël galle'],['Bâtiments et édifices'],Brié et angonnes
Mémoire n°16,L'abjuration  ,['Germaine billon'],['Documents remarquables'],Saint pierre de mésage
Mémoire n°16,I - Les visites pastorales du Cardinal Le Camus en Pays Vizillois  ,['Michel vial'],"['Personnages remarquables', 'Religions']",Brié et angonnes
Mémoire n°16,I - Les visites pastorales du Cardinal Le Camus en Pays Vizillois  ,['Michel vial'],"['Personnages remarquables', 'Religions']",Herbeys
Mémoire n°16,Jadis et naguère Chamrousse-Béranger  ,['Bernadette belmont'],"['Lieux remarquables', 'Tourisme']",Chamrousse
Mémoire n°17,II - Le fort de Montavie : un projet de reconversion  ,['Michaël galle'],['Bâtiments et édifices'],Brié et angonnes
Mémoire n°17,Un cheval peu ordinaire  ,"[""Jeanette cheveu d'or""]","['Histoires', 'Vie locale']",Jarrie
Mémoire n°17,Il était une fois Jarrie : la colonie de St Maurice en Trièves  ,"[""Jeanette cheveu d'or""]",['Vie locale'],Jarrie
Mémoire n°17,La restauration de la chapelle des Angonnes  ,['Pierre melquiond'],"['Bâtiments et édifices', 'Religions']",Brié et angonnes
Mémoire n°17,Comme autrefois  ,['Aline pignat'],['Vie locale'],Notre dame de mésage
Mémoire n°17,Accident du grand mur dans la cote de Laffrey : 25 aout 1946  ,['Germaine billon'],['Evènements'],Saint pierre de mésage
Mémoire n°17,Relation des incidents survenus à Jarrie en juillet et août 44  ,['Georgette balor'],"['Grandes périodes', 'Guerres']",Jarrie
Mémoire n°17,L'art roman dans le canton de Vizille  ,['Paul wohlschlegel'],"['Bâtiments et édifices', 'Religions']",Notre dame de mésage
